,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
246,MOEA-QR-BSA,200,2,0.1,1.0,22.67810575540679,81465,81.15299987792969,False,101,100,0.2
247,BSA,200,2,0.1,1.0,22.67810575540679,81465,81.22699737548828,False,101,100,0.2
248,MOEA-QR-BSA,200,2,0.1,1.0,924.967302704644,84009,81.49700164794922,False,101,100,0.2
249,BSA,200,2,0.1,1.0,924.967302704644,84009,81.75199890136719,False,101,100,0.2
250,MOEA-QR-BSA,200,2,0.1,1.0,622.152790457868,83550,81.5530014038086,False,101,100,0.2
251,BSA,200,2,0.1,1.0,622.152790457868,83550,81.46800231933594,False,101,100,0.2
252,MOEA-QR-BSA,200,2,0.1,1.0,20.175591213830355,85083,93.8270034790039,False,101,100,0.2
253,BSA,200,2,0.1,1.0,20.175591213830355,85083,93.8489990234375,False,101,100,0.2
254,MOEA-QR-BSA,200,2,0.1,1.0,346.7704222702318,84204,81.27999877929688,False,101,100,0.2
255,BSA,200,2,0.1,1.0,346.7704222702318,84204,81.42900085449219,False,101,100,0.2
256,MOEA-QR-BSA,200,2,0.1,1.0,43.08358285737274,84105,81.50199890136719,False,101,100,0.2
257,BSA,200,2,0.1,1.0,43.08358285737274,84105,81.49600219726562,False,101,100,0.2
258,MOEA-QR-BSA,200,2,0.1,1.0,628.0517751590442,84993,81.63600158691406,False,101,100,0.2
259,BSA,200,2,0.1,1.0,628.0517751590442,84993,81.49600219726562,False,101,100,0.2
260,MOEA-QR-BSA,200,2,0.3,1.0,145.4786712754011,81516,81.36199951171875,False,101,100,0.2
261,BSA,200,2,0.3,1.0,145.4786712754011,81516,81.44499969482422,False,101,100,0.2
262,MOEA-QR-BSA,200,2,0.3,1.0,146.77806454048078,80898,81.20800018310547,False,101,100,0.2
263,BSA,200,2,0.3,1.0,146.77806454048078,80898,81.33999633789062,False,101,100,0.2
264,MOEA-QR-BSA,200,2,0.3,1.0,662.5758656293551,89262,81.26799774169922,False,101,100,0.2
265,BSA,200,2,0.3,1.0,662.5758656293551,89262,81.35700225830078,False,101,100,0.2
266,MOEA-QR-BSA,200,2,0.3,1.0,25.9087123576391,81579,81.20999908447266,False,101,100,0.2
267,BSA,200,2,0.3,1.0,25.9087123576391,81579,81.25199890136719,False,101,100,0.2
268,MOEA-QR-BSA,200,2,0.3,1.0,1053.5917355323777,84066,81.74199676513672,False,101,100,0.2
