,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
146,MOEA-QR-BSA,30,2,0.1,1.0,40.3281087811575,15568,1.5,True,17,100,0.2
147,BSA,30,2,0.1,1.0,40.3281087811575,15568,1.472000002861023,True,17,100,0.2
148,BAB,30,2,0.1,1.0,5.869926425125879,101578,0.18400000035762787,True,17,100,0.2
149,MOEA-QR-BAB,30,2,0.1,1.0,5.869926425125879,1004439,1.1410000324249268,True,17,100,0.2
150,MOEA-QR-BSA,30,2,0.1,1.0,5.869926425125864,18116,1.4819999933242798,True,17,100,0.2
151,BSA,30,2,0.1,1.0,5.869926425125864,18116,1.4780000448226929,True,17,100,0.2
152,BAB,30,2,0.1,1.0,14.525258748370243,85383,0.17900000512599945,True,17,100,0.2
153,MOEA-QR-BAB,30,2,0.1,1.0,14.525258748370243,852777,0.9750000238418579,True,17,100,0.2
154,MOEA-QR-BSA,30,2,0.1,1.0,14.525258748370199,13615,1.468000054359436,True,17,100,0.2
155,BSA,30,2,0.1,1.0,14.525258748370199,13615,1.5080000162124634,True,17,100,0.2
156,BAB,30,2,0.1,1.0,54.131545029623815,213838,0.4339999854564667,True,17,100,0.2
157,MOEA-QR-BAB,30,2,0.1,1.0,54.131545029623815,1953996,2.5360000133514404,True,17,100,0.2
158,MOEA-QR-BSA,30,2,0.1,1.0,54.13154502962372,18494,1.468000054359436,True,17,100,0.2
159,BSA,30,2,0.1,1.0,54.13154502962372,18494,1.465000033378601,True,17,100,0.2
160,BAB,30,2,0.3,1.0,84.12981099076491,324404,0.6299999952316284,True,17,100,0.2
161,MOEA-QR-BAB,30,2,0.3,1.0,84.12981099076491,1293984,1.7619999647140503,True,17,100,0.2
162,MOEA-QR-BSA,30,2,0.3,1.0,84.12981099076484,15904,1.4900000095367432,True,17,100,0.2
163,BSA,30,2,0.3,1.0,84.12981099076484,15904,1.4670000076293945,True,17,100,0.2
164,BAB,30,2,0.3,1.0,7.531639103583487,206260,0.39399999380111694,True,17,100,0.2
165,MOEA-QR-BAB,30,2,0.3,1.0,7.531639103583487,1334385,1.7070000171661377,True,17,100,0.2
166,MOEA-QR-BSA,30,2,0.3,1.0,7.531639103583496,16653,1.465999960899353,True,17,100,0.2
167,BSA,30,2,0.3,1.0,7.531639103583496,16653,1.4620000123977661,True,17,100,0.2
168,BAB,30,2,0.3,1.0,127.68728820393981,313796,0.48100000619888306,True,17,100,0.2
169,MOEA-QR-BAB,30,2,0.3,1.0,127.68728820393981,2154545,3.006999969482422,True,17,100,0.2
170,MOEA-QR-BSA,30,2,0.3,1.0,127.6872882039398,18417,1.4900000095367432,True,17,100,0.2
171,BSA,30,2,0.3,1.0,127.6872882039398,18417,1.4839999675750732,True,17,100,0.2
172,BAB,30,2,0.3,1.0,137.54137067557744,175926,0.31200000643730164,True,17,100,0.2
