,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,max_steps,leverage_ratio
1379,MMEA-QR,1000,10,0.45,0.4,368784.78261820716,100,0.7987030148506165,0.996041831684812,6.582786861274426,6.591912728621415,False,True,506,100,0.2
1380,FAST-LTS,1000,10,0.45,0.4,10844.907925404863,17,0.2847729939967394,0.9997501448318078,0.49247657655364424,0.49756053831089586,False,True,506,100,0.2
1381,MOEA-I,1000,10,0.45,0.4,179331.69847951367,100,0.34935900568962097,0.9978856768435268,3.787406661764555,3.7930364780425214,False,True,506,100,0.2
1382,MOEA-QR,1000,10,0.45,0.4,247925.71760690364,100,2.0670180320739746,0.9973239592816276,2.4762529607638064,2.4872441107694736,False,True,506,100,0.2
1383,MMEA-I,1000,10,0.45,0.4,210027.42291951942,100,0.20900900661945343,0.9973696690994713,3.894494460379413,3.901264883598121,False,True,506,100,0.2
1384,MMEA-QR,1000,10,0.45,0.4,226182.61004652514,100,0.7686740159988403,0.9962207862324031,0.34411548695637273,0.44724038547135603,False,True,506,100,0.2
1385,FAST-LTS,1000,10,0.45,0.4,5046.356714456342,13,0.2893310058861971,0.999888368698282,0.3339682526467444,0.3372871414158067,False,True,506,100,0.2
1386,MOEA-I,1000,10,0.45,0.4,144571.5880131257,100,0.3667759895324707,0.999146321493181,2.998230926456672,3.0011527189369582,False,True,506,100,0.2
1387,MOEA-QR,1000,10,0.45,0.4,170749.57070119842,100,2.0128049850463867,0.9977454512466476,6.100085190284574,6.103910401274101,False,True,506,100,0.2
1388,MMEA-I,1000,10,0.45,0.4,216552.20676941582,100,0.21054700016975403,0.9932808403156411,5.287195585814473,5.299786649811335,False,True,506,100,0.2
1389,MMEA-QR,1000,10,0.45,0.4,122540.29973893,100,0.762349009513855,0.9978485479291915,2.2011370290214236,2.2112027581439095,False,True,506,100,0.2
1390,FAST-LTS,1000,10,0.45,0.4,4786.258366090722,9,0.28780399076640606,0.9998505786688907,0.3124500137443237,0.3172188073897871,False,True,506,100,0.2
1391,MOEA-I,1000,10,0.45,0.4,320017.52303442423,100,0.3778980076313019,0.9973444251819203,3.235764471276562,3.2440086564600237,False,True,506,100,0.2
1392,MOEA-QR,1000,10,0.45,0.4,384150.1753188572,100,2.072266101837158,0.9859182389953076,2.623283038133674,2.6776779645515534,False,True,506,100,0.2
1393,MMEA-I,1000,10,0.45,0.4,376433.7716093445,100,0.2108529955148697,0.9813916379210426,1.0747635374829068,1.2412073755967663,False,True,506,100,0.2
1394,MMEA-QR,1000,10,0.45,0.4,271445.5642020642,100,0.763526976108551,0.9919775026957524,2.9424633545006973,2.970254684005124,False,True,506,100,0.2
1395,FAST-LTS,1000,10,0.45,0.4,13072.997517716067,15,0.28124099131673574,0.9997638897776269,0.004777454875808029,0.0696355943469338,False,True,506,100,0.2
1396,MOEA-I,1000,10,0.45,0.4,336887.48578805133,100,0.34873199462890625,0.9825460701841174,6.790000614259826,6.8152882249264,False,True,506,100,0.2
1397,MOEA-QR,1000,10,0.45,0.4,408161.937417065,100,2.0157411098480225,0.98082201449313,6.308347204910832,6.338732378255745,False,True,506,100,0.2
1398,MMEA-I,1000,10,0.45,0.4,277286.06894384616,100,0.2105260044336319,0.9944044882487812,6.001300905624817,6.010594829406976,False,True,506,100,0.2
1399,MMEA-QR,1000,10,0.45,0.4,280121.6999030714,100,0.7651500105857849,0.9899967349992691,3.7236002949348213,3.750229408700066,False,True,506,100,0.2
1400,FAST-LTS,1000,10,0.45,0.4,10032.269673762847,13,0.2888960000127554,0.9999063111060057,0.25466982608608923,0.2583266649825357,False,True,506,100,0.2
1401,MOEA-I,1000,10,0.45,0.4,345594.1296500406,100,0.3480469882488251,0.9983413198032876,9.562974621177402,9.564709733506534,False,True,506,100,0.2
1402,MOEA-QR,1000,10,0.45,0.4,334193.1770659175,100,1.9902540445327759,0.999042247042066,10.511410632923427,10.512391834074721,False,True,506,100,0.2
1403,MMEA-I,1000,10,0.45,0.4,352110.3053053895,100,0.13536100089550018,0.9970951550300762,8.776055574348947,8.77938616362979,False,True,506,100,0.2
1404,MMEA-QR,1000,10,0.45,0.4,295999.0040990802,100,0.7656099796295166,0.9987275051788249,5.537413841495119,5.539713465079108,False,True,506,100,0.2
1405,FAST-LTS,1000,10,0.45,0.4,11274.51227841579,25,0.2871299972757697,0.9998637899460499,0.09191145578160945,0.10654368126007367,False,True,506,100,0.2
1406,MOEA-I,1000,10,0.45,0.4,114185.81218251836,100,0.34324800968170166,0.9983981441874044,5.705985882689078,5.709042036595308,False,True,506,100,0.2
1407,MOEA-QR,1000,10,0.45,0.4,195435.4645091559,100,1.9768179655075073,0.9987877484255187,7.965506055013616,7.967148972931721,False,True,506,100,0.2
1408,MMEA-I,1000,10,0.45,0.4,201578.84836920744,100,0.21026000380516052,0.9979337751641906,9.021824551276218,9.024653745415998,False,True,506,100,0.2
1409,MMEA-QR,1000,10,0.45,0.4,188262.16155895145,100,0.7647709846496582,0.9975101818745291,9.138165606459205,9.140986832359115,False,True,506,100,0.2
