,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
120,FAST-LTS,100,5,0.1,0.0,478.9080055436309,7,0.006951000075787306,0.9757772323598598,1.9768342939950163,2.0355720513768167,False,True,53,50,0.2
123,MMEA-QR,100,5,0.1,0.0,320.81636691494265,30,0.1422629952430725,0.9902512266454029,3.0452995284686346,3.060973378716392,False,True,53,50,0.2
124,MOEA-QR,100,5,0.1,0.0,320.81636691494253,23,0.3619860112667084,0.9902512266454032,3.0452995284686337,3.0609733787163913,False,True,53,50,0.2
125,FAST-LTS,100,5,0.1,0.0,170.28183254322468,5,0.0014059999957680702,0.996911584867952,0.7686332066479271,0.7887287898292047,False,True,53,50,0.2
128,MMEA-QR,100,5,0.1,0.0,162.94524951033497,22,0.16875800490379333,0.9966273925919192,0.7627935925247797,0.785212466484512,False,True,53,50,0.2
129,MOEA-QR,100,5,0.1,0.0,162.9452495103344,24,0.5012490153312683,0.9966273925919196,0.762793592524779,0.7852124664845113,False,True,53,50,0.2
130,FAST-LTS,100,5,0.1,0.0,284.45644078632773,8,0.0017110000480897725,0.9983350263074191,0.41186815781099584,0.4319490082697122,False,True,53,50,0.2
133,MMEA-QR,100,5,0.1,0.0,284.45644078632733,28,0.15419700741767886,0.9983350263074188,0.4118681578109916,0.4319490082697082,False,True,53,50,0.2
134,MOEA-QR,100,5,0.1,0.0,284.45644078632745,26,0.3564800024032593,0.9983350263074192,0.4118681578109935,0.4319490082697099,False,True,53,50,0.2
135,FAST-LTS,100,5,0.1,0.0,5.5504845029640135,6,0.001597999973455444,0.999939133917519,0.2171234727804352,0.2185325607493042,False,True,53,50,0.2
138,MMEA-QR,100,5,0.1,0.0,5.116210623926812,29,0.17675699293613434,0.9999791830667774,0.17658712782521988,0.17730586597638334,False,True,53,50,0.2
139,MOEA-QR,100,5,0.1,0.0,5.116210623926738,31,0.3647449910640717,0.9999791830667774,0.17658712782521988,0.17730586597638334,False,True,53,50,0.2
140,FAST-LTS,100,5,0.1,0.0,64.13020635417644,9,0.0014890000165905806,0.999085463119602,0.1669056791944914,0.1921600287517175,False,True,53,50,0.2
143,MMEA-QR,100,5,0.1,0.0,56.83611028853207,26,0.15103599429130554,0.9985506846085632,0.23661041169505104,0.2656392552348445,False,True,53,50,0.2
144,MOEA-QR,100,5,0.1,0.0,56.836110288532105,28,0.3728410005569458,0.9985506846085628,0.2366104116950465,0.26563925523484017,False,True,53,50,0.2
145,FAST-LTS,100,5,0.1,0.0,27.67462978785145,12,0.001559000025736168,0.9998931500221728,0.7559523830982847,0.7568740276856579,False,True,53,50,0.2
148,MMEA-QR,100,5,0.1,0.0,27.674629787851323,28,0.15237900614738464,0.9998931500221726,0.7559523830982876,0.7568740276856608,False,True,53,50,0.2
149,MOEA-QR,100,5,0.1,0.0,27.674629787851323,29,0.37855398654937744,0.9998931500221724,0.7559523830982883,0.7568740276856615,False,True,53,50,0.2
150,FAST-LTS,500,2,0.1,0.0,712.1314916807758,25,0.006686000037007035,0.9999832374030796,0.19951408043158744,0.19983401366274756,False,True,252,50,0.2
153,MMEA-QR,500,2,0.1,0.0,1764.3357657390302,40,1.4202710390090942,0.999908860979462,0.08917165685125784,0.0931615016974567,False,True,252,50,0.2
154,MOEA-QR,500,2,0.1,0.0,1888.484360945829,40,8.022525787353517,0.9999876230481914,0.16547036184771208,0.16586244904051622,False,True,252,50,0.2
155,FAST-LTS,500,2,0.1,0.0,1602.0115427596163,13,0.02408700017258525,0.9995728140833255,0.9760659947936641,0.9775378066718022,False,True,252,50,0.2
158,MMEA-QR,500,2,0.1,0.0,4584.744898963204,40,1.4216519594192505,0.9999955712161784,0.3178482768450217,0.3183773062397193,False,True,252,50,0.2
159,MOEA-QR,500,2,0.1,0.0,5011.543725955048,40,7.968953132629394,0.9999884017232376,0.0075242264005804796,0.02124325958032264,False,True,252,50,0.2
