,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio,tmp2,tmp4,tmp5,tmp6,tmp7,tmp8
1779,MOEA-QR,20,3,0.3,0.4,99.12973609507608,7,0.007910000160336494,0.9999665595420179,0.507329099252098,0.5075210592398296,False,True,12,50,0.2,4,6,4,3.5,6,-0.1499999999999999
1780,FAST-LTS,20,3,0.3,0.4,96.82015176421154,6,0.0004970000081812033,0.9986894087663664,3.2077756423453634,3.20896618340273,False,True,12,50,0.2,3,5,3,3.0,5,0.2999999999999998
1781,FAST-LTS-MMEA-QR,20,3,0.3,0.4,96.8201517642114,2,0.007184000220149756,0.9986894087663664,3.2077756423453603,3.2089661834027274,False,True,12,50,0.2,2,5,2,1.0,5,0.09999999999999998
1782,FAST-LTS-MOEA-QR,20,3,0.3,0.4,96.8201517642114,0,0.007697000168263912,0.9986894087663662,3.2077756423453643,3.2089661834027314,False,True,12,50,0.2,2,3,2,0.7999999999999998,3,-0.7199999999999999
1783,MMEA-QR,20,3,0.3,0.4,96.8201517642114,5,0.0066060000099241725,0.9986894087663662,3.2077756423453616,3.2089661834027283,False,True,12,50,0.2,3,4,3,2.5,4,-0.25
1784,MOEA-QR,20,3,0.3,0.4,96.8201517642114,7,0.0079969996586442,0.9986894087663664,3.2077756423453616,3.2089661834027283,False,True,12,50,0.2,4,6,4,3.5,6,-0.1499999999999999
1785,FAST-LTS,20,3,0.3,0.4,5.825906655484843,4,0.00044900000648340216,0.999892026317766,0.1435922711324323,0.1461504258195472,False,True,12,50,0.2,2,3,2,2.0,3,0.19999999999999996
1786,FAST-LTS-MMEA-QR,20,3,0.3,0.4,5.381643662501911,3,0.0064119999296963215,0.9999999553686156,0.009196733696984705,0.00921637765294025,False,True,12,50,0.2,2,6,3,1.5,6,2.65
1787,FAST-LTS-MOEA-QR,20,3,0.3,0.4,5.38164366250191,1,0.008630000054836273,0.9999999553686156,0.009196733696981402,0.009216377652936958,False,True,12,50,0.2,4,6,4,1.5999999999999996,6,0.5600000000000003
1788,MMEA-QR,20,3,0.3,0.4,5.38164366250191,6,0.006707000080496073,0.9999999553686156,0.009196733696983787,0.009216377652939338,False,True,12,50,0.2,3,5,3,3.0,5,0.2999999999999998
