,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
49,MOEA-QR,20,2,0.1,0.0,38.827287832276696,6,0.0067540002055466175,0.9962433195363206,0.013988166516712974,0.1309825696438279,False,True,12,50,0.2
50,FAST-LTS,100,3,0.1,0.0,54.6544097260832,4,0.0012719999940600246,0.9993041962192473,0.6412883675877241,0.6446400613921549,False,True,52,50,0.2
51,FAST-LTS-MMEA-QR,100,3,0.1,0.0,51.01430945449365,27,0.11661799997091293,0.9991842321695673,0.8244099641832155,0.8275315496974565,False,True,52,50,0.2
52,FAST-LTS-MOEA-QR,100,3,0.1,0.0,51.01430945449365,24,0.29457899928092957,0.9991842321695673,0.824409964183218,0.8275315496974589,False,True,52,50,0.2
53,MMEA-QR,100,3,0.1,0.0,51.01430945449366,28,0.11325199902057648,0.9991842321695673,0.8244099641832154,0.8275315496974563,False,True,52,50,0.2
54,MOEA-QR,100,3,0.1,0.0,51.01430945449364,27,0.28767699003219604,0.9991842321695674,0.8244099641832182,0.8275315496974591,False,True,52,50,0.2
55,FAST-LTS,100,3,0.1,0.0,25.86923313255823,13,0.001229999994393438,0.9996968744860613,0.5100679882836674,0.512226712497718,False,True,52,50,0.2
56,FAST-LTS-MMEA-QR,100,3,0.1,0.0,25.47188200531302,32,0.12540599703788757,0.9995798272628744,0.6076330517986477,0.6101336300749312,False,True,52,50,0.2
57,FAST-LTS-MOEA-QR,100,3,0.1,0.0,25.471882005313013,36,0.3226499855518341,0.9995798272628744,0.6076330517986461,0.6101336300749296,False,True,52,50,0.2
58,MMEA-QR,100,3,0.1,0.0,25.471882005313006,28,0.12933200597763062,0.9995798272628745,0.6076330517986471,0.6101336300749306,False,True,52,50,0.2
59,MOEA-QR,100,3,0.1,0.0,25.471882005313013,29,0.32208600640296936,0.9995798272628744,0.6076330517986495,0.6101336300749329,False,True,52,50,0.2
60,FAST-LTS,100,3,0.1,0.0,62.35450348346965,7,0.0010709999914979562,0.9988457275883508,0.27473549735541913,0.2875001499793601,False,True,52,50,0.2
