,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
1175,FAST-LTS,100,3,0.3,1.0,129.12576380672957,16,0.0024950000806711614,0.9998458781246488,0.28535115527455246,0.28696605587338425,False,True,52,1000,0.2
1176,RBSA,100,3,0.3,1.0,1489.2621357065418,495,0.18829099833965302,0.37559641175209846,4.355439442609863,4.648806854390582,False,True,52,1000,0.2
1177,RANDOM,100,3,0.3,1.0,6428.695186912917,0,0.0058929999358952045,0.9962573619495715,4.457885902956025,4.462123692069985,False,True,52,1000,0.2
1178,MMEA-QR,100,3,0.3,1.0,705.6941333685221,34,0.003240999998524785,0.9986859666822719,1.4217317386974533,1.4258287523181294,False,True,52,1000,0.2
1179,FAST-LTS,100,3,0.3,1.0,1045.471120900968,6,0.002310000010766089,0.995094904602127,2.0913607156502,2.1010883297501097,False,True,52,1000,0.2
1180,RBSA,100,3,0.3,1.0,1499.688959761754,495,0.19092300534248352,0.9986117144244872,0.19585688827002395,0.24782472203163497,False,True,52,1000,0.2
1181,RANDOM,100,3,0.3,1.0,5967.307986086889,0,0.005884999874979258,0.9760922087360552,5.464541352652509,5.477321835108505,False,True,52,1000,0.2
1182,MMEA-QR,100,3,0.3,1.0,459.0941685875973,31,0.0030159999150782824,0.9957682163176031,1.7048104686569208,1.7121966479531436,False,True,52,1000,0.2
1183,FAST-LTS,100,3,0.3,1.0,457.10704412615723,4,0.0022560000652447343,0.9871677525523102,0.8635183532885613,0.906067693519943,False,True,52,1000,0.2
1184,RBSA,100,3,0.3,1.0,715.8074700145396,495,0.19656500220298767,0.9983133365684098,0.0602020146163188,0.11547868014499608,False,True,52,1000,0.2
1185,RANDOM,100,3,0.3,1.0,2572.0766998276185,0,0.005905999802052975,0.9988133006232893,1.371910305054455,1.3751034857796969,False,True,52,1000,0.2
1186,MMEA-QR,100,3,0.3,1.0,605.8296896099416,23,0.002247000113129616,0.9971664111563866,0.09381307006473327,0.15847607597795832,False,True,52,1000,0.2
1187,FAST-LTS,100,3,0.3,1.0,634.1434466711912,6,0.002279999986058101,0.9832570766948403,2.1160199827963737,2.1594412728501697,False,True,52,1000,0.2
1188,RBSA,100,3,0.3,1.0,24.745903817288465,615,0.18920299410820007,0.9999009121620495,0.13288936485079364,0.13528153208929744,False,True,52,1000,0.2
1189,RANDOM,100,3,0.3,1.0,1432.5768500105785,0,0.005865999963134527,0.9998237079967114,1.2315213114596206,1.2319588096044962,False,True,52,1000,0.2
1190,MMEA-QR,100,3,0.3,1.0,15.583973616523974,24,0.0023270000237971544,0.9999986747820357,0.33883125559471605,0.3388443578970868,False,True,52,1000,0.2
1191,FAST-LTS,100,3,0.3,1.0,16.610915953331535,10,0.0024099999864120036,0.9998658430749401,0.008247831845021106,0.03078827421718816,False,True,52,1000,0.2
1192,RBSA,100,3,0.3,1.0,700.4502906270318,570,0.1901559978723526,0.9076483330418496,1.4414526329860944,1.6864420121779107,False,True,52,1000,0.2
1193,RANDOM,100,3,0.3,1.0,3996.96124115634,0,0.00595800019800663,0.9999902130180691,1.471343026963983,1.472904384575614,False,True,52,1000,0.2
1194,MMEA-QR,100,3,0.3,1.0,605.6068836838822,29,0.002824000082910061,0.9980087280631337,3.3149698326908537,3.3181655408214965,False,True,52,1000,0.2
1195,FAST-LTS,100,3,0.3,1.0,586.4568610483655,8,0.0023380000493489206,0.91242820559692,2.155283751493656,2.3242333531176,False,True,52,1000,0.2
1196,RBSA,100,3,0.3,1.0,561.8855616927895,330,0.18886099755764008,0.9826173897557596,2.8720612784397725,2.8915362092850567,False,True,52,1000,0.2
1197,RANDOM,100,3,0.3,1.0,2172.412316008683,0,0.005925000179558992,0.9982599053057168,1.78522500899829,1.7915488787624663,False,True,52,1000,0.2
1198,MMEA-QR,100,3,0.3,1.0,286.06511697380995,28,0.0026660000439733267,0.999629010985679,1.655113431708471,1.6558204093699747,False,True,52,1000,0.2
1199,FAST-LTS,100,3,0.3,1.0,291.1325089097128,9,0.002502999996067956,0.9995853611278309,1.4635166531627364,1.4644004539198285,False,True,52,1000,0.2
1200,RBSA,100,5,0.3,1.0,503.18098550116025,3024,1.417564034461975,0.997491897731488,0.21054318735284566,0.2658151073809009,False,True,53,1000,0.2
1201,RANDOM,100,5,0.3,1.0,6694.920495259168,0,0.007127000018954277,0.9938341309193631,4.385655536624278,4.392953673773946,False,True,53,1000,0.2
1202,MMEA-QR,100,5,0.3,1.0,149.4677815929706,26,0.003037000074982643,0.9994379035428225,0.2122856572015055,0.22529499485292406,False,True,53,1000,0.2
1203,FAST-LTS,100,5,0.3,1.0,149.71449516563106,11,0.0029460000223480165,0.9992595369146939,0.044910176619713194,0.0976334520213333,False,True,53,1000,0.2
1204,RBSA,100,5,0.3,1.0,2195.783703482888,4095,1.4009809494018555,0.1031509029324138,1.0845482037242284,2.4600739085456422,False,True,53,1000,0.2
1205,RANDOM,100,5,0.3,1.0,11488.434843187219,0,0.007149000186473131,0.41840423131569593,4.16518438488211,4.625016568300809,False,True,53,1000,0.2
1206,MMEA-QR,100,5,0.3,1.0,212.66382222754203,23,0.002736999886110425,0.9986959471863186,0.2916265342900748,0.33623372913185917,False,True,53,1000,0.2
1207,FAST-LTS,100,5,0.3,1.0,241.8611174289056,6,0.0027680000639520586,0.9980843379754779,0.7796841246320716,0.7916343794802477,False,True,53,1000,0.2
1208,RBSA,100,5,0.3,1.0,227.67437856488763,2835,1.406427025794983,0.9984077953770214,0.31383609816482555,0.3392705735774981,False,True,53,1000,0.2
1209,RANDOM,100,5,0.3,1.0,4208.679647864016,0,0.007127999793738127,0.995074350735805,3.7016080444038373,3.70831475699115,False,True,53,1000,0.2
1210,MMEA-QR,100,5,0.3,1.0,83.40460383597483,27,0.003191000083461404,0.9995934257082123,0.7714594986647162,0.7741665412821651,False,True,53,1000,0.2
1211,FAST-LTS,100,5,0.3,1.0,81.20001038142827,7,0.0029689999646507204,0.9997189684689166,0.6137848565024732,0.616404257485885,False,True,53,1000,0.2
1212,RBSA,100,5,0.3,1.0,325.63700998744235,3465,1.3786200284957886,0.9965371459455366,0.09301421595802731,0.2154294970934562,False,True,53,1000,0.2
1213,RANDOM,100,5,0.3,1.0,7183.299687809339,0,0.0070409998297691345,0.9909814142069272,2.259214163183011,2.2800257503644423,False,True,53,1000,0.2
1214,MMEA-QR,100,5,0.3,1.0,172.16796913921058,25,0.0029279999434947968,0.999003828300644,1.0197590764037918,1.0250758867074379,False,True,53,1000,0.2
1215,FAST-LTS,100,5,0.3,1.0,180.10130256827009,7,0.0028559999191202223,0.9998071301137818,0.35442712619568373,0.3573695548695945,False,True,53,1000,0.2
1216,RBSA,100,5,0.3,1.0,1681.9103476959249,2709,1.397905945777893,0.9862447790043412,0.888985141828317,0.9805787985663962,False,True,53,1000,0.2
1217,RANDOM,100,5,0.3,1.0,8181.028229715939,0,0.007075999863445759,0.9983167860842386,3.3142854094783782,3.3177084322672137,False,True,53,1000,0.2
1218,MMEA-QR,100,5,0.3,1.0,953.2055239683953,25,0.0029100000392645597,0.9985008422287825,1.3690761156014772,1.3747631307147958,False,True,53,1000,0.2
1219,FAST-LTS,100,5,0.3,1.0,772.7174936817738,12,0.0028009999659843743,0.9921014555027456,2.1495497182723753,2.175118503043371,False,True,53,1000,0.2
1220,RBSA,100,5,0.3,1.0,784.249409210349,3843,1.414720058441162,0.9908628627356877,0.7153733657786939,0.7875457274681084,False,True,53,1000,0.2
1221,RANDOM,100,5,0.3,1.0,19754.982692494912,0,0.007149000186473131,0.2743344522789013,3.864619104928073,4.639155563164142,False,True,53,1000,0.2
1222,MMEA-QR,100,5,0.3,1.0,290.5569298227697,29,0.0034169999416917562,0.9999144192729008,0.776019294569548,0.7767826064657242,False,True,53,1000,0.2
1223,FAST-LTS,100,5,0.3,1.0,443.36858668957683,22,0.0029900000081397593,0.996481238016338,0.9279170556527669,0.9467648180210191,False,True,53,1000,0.2
1224,RBSA,100,5,0.3,1.0,1248.520073659417,4158,1.3925470113754272,0.9798915630626507,5.988137273656547,6.004345797203366,False,True,53,1000,0.2
1225,RANDOM,100,5,0.3,1.0,3964.5949549837223,0,0.007062999997287989,0.9982045274406013,0.6796452939319446,0.6924247155519301,False,True,53,1000,0.2
1226,MMEA-QR,100,5,0.3,1.0,832.2711207462496,21,0.0024939998984336853,0.9967002279873647,1.5026807452802264,1.513921850462718,False,True,53,1000,0.2
1227,FAST-LTS,100,5,0.3,1.0,753.6183027051189,10,0.0029079999367240816,0.9989846794406841,2.188647282045814,2.1909690108239728,False,True,53,1000,0.2
1228,RBSA,100,5,0.3,1.0,50.24474476378099,3528,1.3796789646148682,0.9999517902339389,0.2903912919331751,0.2912231740171314,False,True,53,1000,0.2
1229,RANDOM,100,5,0.3,1.0,29350.102792002217,0,0.00709300022572279,0.9730944068496924,12.230309939400236,12.24148190503738,False,True,53,1000,0.2
1230,MMEA-QR,100,5,0.3,1.0,13.902599655823147,32,0.0037269999738782644,0.9999782343872778,0.17902776376545926,0.17967446506626084,False,True,53,1000,0.2
1231,FAST-LTS,100,5,0.3,1.0,13.788479721322599,12,0.002837000007275492,0.9999847225118677,0.21017681742476513,0.21060864986990588,False,True,53,1000,0.2
1232,RBSA,100,5,0.3,1.0,1305.1639355391476,2961,1.4036099910736084,0.9970378021060742,1.8693692115936116,1.8768566648127958,False,True,53,1000,0.2
1233,RANDOM,100,5,0.3,1.0,11180.619312082275,0,0.007149999961256981,0.9791993546904714,8.274301522615202,8.287736748928927,False,True,53,1000,0.2
1234,MMEA-QR,100,5,0.3,1.0,431.9440426053847,28,0.0033019999973475933,0.9984488474268131,0.35202473975148185,0.37672762673759913,False,True,53,1000,0.2
1235,FAST-LTS,100,5,0.3,1.0,429.57374764675694,10,0.0029240000003483146,0.9977550521183625,0.790527343744382,0.8063584570798369,False,True,53,1000,0.2
1236,RBSA,100,5,0.3,1.0,658.281244215152,4347,1.400365948677063,0.9899800840389296,0.758910368957928,0.8375621255355056,False,True,53,1000,0.2
1237,RANDOM,100,5,0.3,1.0,3633.116842351601,0,0.007089000195264816,0.9948844954592412,1.3532389958994309,1.3725592821524017,False,True,53,1000,0.2
1238,MMEA-QR,100,5,0.3,1.0,118.85885984168944,30,0.00355900009162724,0.9982339031825953,0.49373078962926814,0.5124233766329361,False,True,53,1000,0.2
1239,FAST-LTS,100,5,0.3,1.0,117.1135203347041,10,0.0030899998964741826,0.9988744782841895,0.11619190706025903,0.15807172380657078,False,True,53,1000,0.2
1240,RBSA,500,2,0.3,1.0,14079.337998877607,7,0.2558259963989258,0.9979395033851493,0.9313347840627466,0.9406083206694272,False,True,252,1000,0.2
1241,RANDOM,500,2,0.3,1.0,116772.4209449903,0,0.10463900119066238,0.9923922343779847,3.2447358046683545,3.2612419662639023,False,True,252,1000,0.2
1242,MMEA-QR,500,2,0.3,1.0,6970.9485830886115,50,0.19669300317764282,0.9999506711285635,0.257305770045209,0.25769583859498996,False,True,252,1000,0.2
1243,FAST-LTS,500,2,0.3,1.0,2008.2796372275707,19,0.04239499941468239,0.9999163129166438,0.2759162346079484,0.27656686422803206,False,True,252,1000,0.2
1244,RBSA,500,2,0.3,1.0,5839.749442384226,14,0.43887999653816223,0.9614722491236461,3.656130530157958,3.6960908678133038,False,True,252,1000,0.2
1245,RANDOM,500,2,0.3,1.0,35226.23615500564,0,0.10559000074863434,0.976864480570349,4.4953982152259835,4.514707554500799,False,True,252,1000,0.2
1246,MMEA-QR,500,2,0.3,1.0,7049.136428970841,50,0.21773399412631989,0.9999440581094272,1.5038123729456179,1.5052624527375416,False,True,252,1000,0.2
1247,FAST-LTS,500,2,0.3,1.0,1523.9118483527845,22,0.04637699946761131,0.9998747313207762,0.11258870085880082,0.11512992764848597,False,True,252,1000,0.2
1248,RBSA,500,2,0.3,1.0,777.0050387305076,56,0.42707499861717224,0.9999419868592826,0.8573987576374078,0.8588747708798495,False,True,252,1000,0.2
1249,RANDOM,500,2,0.3,1.0,51995.43286859394,0,0.10488499701023102,0.9734827943541423,4.73047990093967,4.775833042066744,False,True,252,1000,0.2
1250,MMEA-QR,500,2,0.3,1.0,3143.9000988980574,50,0.21028000116348267,0.9999534990332118,0.4722238425734523,0.4738534375745014,False,True,252,1000,0.2
1251,FAST-LTS,500,2,0.3,1.0,552.4857618146782,15,0.04208299983292818,0.9999968787777819,0.0027856170253172663,0.004496599425780226,False,True,252,1000,0.2
1252,RBSA,500,2,0.3,1.0,603.104401703424,21,0.43742498755455017,0.9999744435842148,0.10975943879096596,0.11209507640047428,False,True,252,1000,0.2
1253,RANDOM,500,2,0.3,1.0,69617.19614973164,0,0.10560200363397598,0.984859545918965,1.993287286025003,2.014822297944444,False,True,252,1000,0.2
1254,MMEA-QR,500,2,0.3,1.0,2870.9485950673516,50,0.2105329930782318,0.9999929501252371,0.46981693639759703,0.46984971427612704,False,True,252,1000,0.2
1255,FAST-LTS,500,2,0.3,1.0,590.3393574048503,10,0.04302200023084879,0.9996215504894171,0.46674943498344046,0.46838206020652146,False,True,252,1000,0.2
1256,RBSA,500,2,0.3,1.0,12661.392501387658,14,0.4358989894390106,-0.18830791834004068,3.134378229614192,3.5603467551012025,False,True,252,1000,0.2
1257,RANDOM,500,2,0.3,1.0,49462.1148143023,0,0.10465999692678452,0.9428745761623437,3.88079074711368,3.943527340909628,False,True,252,1000,0.2
1258,MMEA-QR,500,2,0.3,1.0,2675.0867814201965,50,0.2172970026731491,0.9999994931479976,0.8720429527908691,0.8736854229797706,False,True,252,1000,0.2
1259,FAST-LTS,500,2,0.3,1.0,84.81299359208464,8,0.04326100181788206,0.9999991177731447,0.037767433508763035,0.039011867724722725,False,True,252,1000,0.2
1260,RBSA,500,2,0.3,1.0,1094.0917155035586,35,0.42959100008010864,0.9999346221445063,2.289249328345682,2.2893075721538163,False,True,252,1000,0.2
1261,RANDOM,500,2,0.3,1.0,8712.772617418079,0,0.10547500103712082,0.9999896286796734,0.3224638124145359,0.3352994869296041,False,True,252,1000,0.2
1262,MMEA-QR,500,2,0.3,1.0,2129.063256488591,50,0.21647599339485168,0.9999974416875181,0.3349340489403541,0.33525449634953025,False,True,252,1000,0.2
1263,FAST-LTS,500,2,0.3,1.0,711.5092167332971,20,0.04635499883443117,0.99992640999683,0.02895940673441408,0.049202239692343774,False,True,252,1000,0.2
1264,RBSA,500,2,0.3,1.0,6016.639571151181,28,0.4362800121307373,0.9813925018308842,0.7925169394212108,0.8457706785738883,False,True,252,1000,0.2
1265,RANDOM,500,2,0.3,1.0,87318.77589152397,0,0.10472200065851212,0.9949419072794834,4.738296900710331,4.746403863614164,False,True,252,1000,0.2
1266,MMEA-QR,500,2,0.3,1.0,12221.91853487025,50,0.22261300683021545,0.9999849706426998,0.17582285711614892,0.17748791535987946,False,True,252,1000,0.2
1267,FAST-LTS,500,2,0.3,1.0,3387.9556892786964,16,0.04237200040370226,0.9997024336233493,0.4743725250885537,0.47593287048260746,False,True,252,1000,0.2
1268,RBSA,500,2,0.3,1.0,13531.167047159652,35,0.43407100439071655,-0.9914693367536647,3.6824568903746795,4.143013338299906,False,True,252,1000,0.2
1269,RANDOM,500,2,0.3,1.0,66536.20481640368,0,0.10479900240898132,0.9988789309549605,1.3679085105722097,1.4630079114823218,False,True,252,1000,0.2
1270,MMEA-QR,500,2,0.3,1.0,9954.749797631579,50,0.21220000088214874,0.9998029503701332,0.21480071478812124,0.22097658327036027,False,True,252,1000,0.2
1271,FAST-LTS,500,2,0.3,1.0,2871.7621406277285,12,0.042810999788343906,0.9990444647751388,0.9239514680823531,0.9261124252521866,False,True,252,1000,0.2
1272,RBSA,500,2,0.3,1.0,654.1585936494598,7,0.4289320111274719,0.996634292022233,0.9180925094609919,0.9256790293556362,False,True,252,1000,0.2
1273,RANDOM,500,2,0.3,1.0,5048.257099239439,0,0.10509800165891647,0.9998098167965452,0.06166104707800185,0.07891506498641772,False,True,252,1000,0.2
1274,MMEA-QR,500,2,0.3,1.0,1135.0831331758395,50,0.18481799960136414,0.9999864841760241,0.005390762225361695,0.011882587579650267,False,True,252,1000,0.2
1275,FAST-LTS,500,2,0.3,1.0,471.04688309022896,14,0.045656999573111534,0.9999335317988407,0.18874075214089145,0.1909829715340974,False,True,252,1000,0.2
1276,RBSA,500,2,0.3,1.0,2082.9468109220797,21,0.4304620027542114,0.9979152788862446,4.047854503139997,4.050555698768568,False,True,252,1000,0.2
1277,RANDOM,500,2,0.3,1.0,9920.585780497773,0,0.10498200356960297,0.9978888721068377,0.5502320260148053,0.5827957868680913,False,True,252,1000,0.2
1278,MMEA-QR,500,2,0.3,1.0,2962.2268345348584,50,0.21626700460910797,0.9998856001247235,0.040652812345869774,0.053120010890918105,False,True,252,1000,0.2
1279,FAST-LTS,500,2,0.3,1.0,980.2393135216205,9,0.03466399945318699,0.9997490870018922,0.2019872395877511,0.20449625143675307,False,True,252,1000,0.2
